Year,Quarter,Region,State,Segment,Vehicle_Class,Manufacturer,Fuel_Type,Units_Sold,Avg_Price_INR
FY2019,Q1,Central,Chhattisgarh,Commercial Vehicle,MHCV,Mahindra,CNG,3708,994553
FY2019,Q1,Central,Chhattisgarh,Electric Vehicle,E-Bus,Tata Motors,Electric,111,298897
FY2019,Q1,Central,Chhattisgarh,Passenger Car,SUV,Tata Motors,Petrol,9248,1422619
FY2019,Q1,Central,Chhattisgarh,Three-Wheeler,Passenger 3W,TVS Motor,CNG,2547,202952
FY2019,Q1,Central,Chhattisgarh,Two-Wheeler,Motorcycle,TVS Motor,Electric,76115,71509
FY2019,Q1,Central,Madhya Pradesh,Commercial Vehicle,MHCV,Eicher Motors,Diesel,11058,1993072
FY2019,Q1,Central,Madhya Pradesh,Electric Vehicle,E-Two-Wheeler,TVS Motor,Electric,376,231725
FY2019,Q1,Central,Madhya Pradesh,Passenger Car,SUV,Maruti Suzuki,Petrol,19474,1133400
FY2019,Q1,Central,Madhya Pradesh,Three-Wheeler,Goods 3W,Piaggio,CNG,6079,158311
FY2019,Q1,Central,Madhya Pradesh,Two-Wheeler,Moped,Hero MotoCorp,Petrol,298725,54188
FY2019,Q1,East,Bihar,Commercial Vehicle,LCV,Ashok Leyland,Diesel,5087,1595183
FY2019,Q1,East,Bihar,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,180,167757
FY2019,Q1,East,Bihar,Passenger Car,SUV,Maruti Suzuki,Petrol,15210,872117
FY2019,Q1,East,Bihar,Three-Wheeler,Goods 3W,Bajaj Auto,Petrol,6909,316991
FY2019,Q1,East,Bihar,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,178743,70962
FY2019,Q1,East,Jharkhand,Commercial Vehicle,LCV,Tata Motors,CNG,3317,1583407
FY2019,Q1,East,Jharkhand,Electric Vehicle,E-Two-Wheeler,Tata Motors,Electric,92,133949
FY2019,Q1,East,Jharkhand,Passenger Car,Sedan,Tata Motors,Petrol,19474,576310
FY2019,Q1,East,Jharkhand,Three-Wheeler,Passenger 3W,Piaggio,CNG,1832,186388
FY2019,Q1,East,Jharkhand,Two-Wheeler,Motorcycle,Honda Motorcycle,Petrol,61184,53387
FY2019,Q1,East,Odisha,Commercial Vehicle,LCV,Ashok Leyland,Diesel,3986,1323047
FY2019,Q1,East,Odisha,Electric Vehicle,E-Car,Ather Energy,Electric,161,171543
