Year,Quarter,State,Region,Segment,Vehicle_Class,Manufacturer,Fuel_Type,Units_Sold,Avg_Price_INR
FY2019,Q2,Madhya Pradesh,Central,Electric Vehicle,E-Car,Tata Motors,Electric,368.0,162967.0
FY2023,Q1,Bihar,East,Passenger Car,MUV,Maruti Suzuki,Petrol,17534.0,923531.0
FY2020,Q4,Jharkhand,East,Commercial Vehicle,LCV,Others,Diesel,2418.0,1169366.0
FY2021,Q4,Meghalaya,Northeast,Two-Wheeler,Motorcycle,Hero MotoCorp,Petrol,7346.0,64724.0
FY2019,Q4,Maharashtra,West,Commercial Vehicle,Bus,Tata Motors,Diesel,24114.0,463279.0
FY2020,Q4,Goa,West,Passenger Car,SUV,Maruti Suzuki,Petrol,5840.0,1212450.0
FY2019,Q3,Meghalaya,Northeast,Two-Wheeler,Scooter,Hero MotoCorp,Petrol,13898.0,50200.0
FY2021,Q2,Tripura,Northeast,Electric Vehicle,E-Two-Wheeler,Ather Energy,Electric,103.0,105103.0
FY2023,Q4,Goa,West,Passenger Car,Hatchback,Maruti Suzuki,Petrol,7186.0,1042538.0
FY2022,Q4,Assam,Northeast,Electric Vehicle,E-Car,Ola Electric,Electric,519.0,345036.0
FY2022,Q1,Delhi,North,Passenger Car,Sedan,Maruti Suzuki,Petrol,37101.0,1205310.0
FY2019,Q3,Punjab,North,Commercial Vehicle,MHCV,Eicher Motors,Diesel,6426.0,338026.0
FY2021,Q3,Karnataka,South,Commercial Vehicle,LCV,Tata Motors,Diesel,11228.0,1288263.0
FY2024,Q2,West Bengal,East,Passenger Car,Sedan,Maruti Suzuki,Petrol,39686.0,475444.0
FY2020,Q2,Sikkim,Northeast,Electric Vehicle,E-Two-Wheeler,Bajaj Auto,Electric,31.0,145132.0
FY2024,Q1,Telangana,South,Commercial Vehicle,LCV,Tata Motors,CNG,10825.0,946892.0
FY2020,Q4,Manipur,Northeast,Two-Wheeler,Scooter,TVS Motor,Petrol,8193.0,67640.0
FY2023,Q4,Sikkim,Northeast,Passenger Car,SUV,Maruti Suzuki,Petrol,895.0,1495312.0
